City,Latitude,Longitude
Casablanca,33.5945144,-7.6200284
Rabat,34.022405,-6.834543
Fès,34.0346534,-5.0161926
Marrakech,31.6258257,-7.9891608
Agadir,30.4211144,-9.5830626
Tanger,35.777103,-5.803792
Meknès,33.897877,-5.5320345
Oujda,34.677874,-1.929306
Kenitra,34.26457,-6.570169
Tetouan,35.570175,-5.3742776
El Jadida,33.2336952,-8.500424800741666
Safi,32.2650776,-9.230554032530662
Beni Mellal,32.334193,-6.353335
Nador,35.1739922,-2.9281198
Taza,34.230155,-4.010104
Essaouira,31.5118281,-9.7620903
Khouribga,32.885508,-6.909238
Settat,33.002397,-7.619867
Larache,35.1952327,-6.152913
Ksar El Kebir,34.999218,-5.898724
Taourirt,34.413438,-2.893825
Guercif,34.225576,-3.352345
Guelmim,28.9863852,-10.0574351
Dakhla,23.6940663,-15.9431274
Laayoune,27.154512,-13.1953921
Ifrane,33.527605,-5.107408
Azrou,33.436117,-5.221913
Errachidia,31.929089,-4.4340807
Ouarzazate,30.920193,-6.910923
Taroudant,30.470651,-8.877922
Chefchaouen,35.1700832,-5.2766582971063976
Berkane,34.9266755,-2.3294087
Sidi Kacem,34.226412,-5.711434
Sidi Slimane,34.259878,-5.927253
Sidi Ifni,29.3791253,-10.1715632
Tiznit,29.698624,-9.7312815
Tan-Tan,28.437553,-11.098664
